state1,state2,distance
Alabama,Alabama,0.0
Alabama,Alaska,3476.952448925013
Alabama,Arizona,1433.4601571654339
Alabama,Arkansas,354.17048999954363
Alabama,California,1867.2416008662124
Alabama,Colorado,1131.6137768840006
Alabama,Connecticut,986.1736438834139
Alabama,Delaware,765.1844126058937
Alabama,District of Columbia,693.655918602991
Alabama,Florida,386.7328758336575
Alabama,Georgia,197.48790370515675
Alabama,Hawaii,4317.927115844646
Alabama,Idaho,1691.49762963289
Alabama,Illinois,517.7850121820012
Alabama,Indiana,491.5170443770248
Alabama,Iowa,737.9400950040136
Alabama,Kansas,759.2820311167027
Alabama,Kentucky,339.0031754353686
Alabama,Louisiana,325.7129074375562
Alabama,Maine,1278.6362479528248
Alabama,Maryland,709.2481892038426
Alabama,Massachusetts,1049.9756176464837
Alabama,Michigan,801.5330362200334
Alabama,Minnesota,1012.3078390288449
Alabama,Mississippi,165.33445966983797
Alabama,Missouri,498.1584422486079
Alabama,Montana,1551.080494877842
Alabama,Nebraska,934.5891402478613
Alabama,Nevada,1719.8886653920197
Alabama,New Hampshire,1116.230172874942
Alabama,New Jersey,846.737193665687
Alabama,New Mexico,1116.1904639092159
Alabama,New York,933.2471112520049
Alabama,North Carolina,467.11314440417624
Alabama,North Dakota,1239.5313417222858
Alabama,Ohio,564.0422141898638
Alabama,Oklahoma,640.487394748614
Alabama,Oregon,1969.553573073945
Alabama,Pennsylvania,749.0525521268635
Alabama,Rhode Island,1039.3519533569654
Alabama,South Carolina,351.9076099094892
Alabama,South Dakota,1080.232672213162
Alabama,Tennessee,213.9546177850456
Alabama,Texas,738.1095030592563
Alabama,Utah,1456.4785162747867
Alabama,Vermont,1090.974086248815
Alabama,Virginia,557.0996276168297
Alabama,Washington,2024.1997435405128
Alabama,West Virginia,533.6367905212943
Alabama,Wisconsin,834.5848314811676
Alabama,Wyoming,1328.3585911208438
Alaska,Alabama,3476.952448925013
Alaska,Alaska,0.0
Alaska,Arizona,2675.275492364122
Alaska,Arkansas,3183.9792437000524
Alaska,California,2299.9053522442355
Alaska,Colorado,2559.799212080206
Alaska,Connecticut,3391.636927840334
Alaska,Delaware,3458.89801211404
Alaska,District of Columbia,3418.1126379226976
Alaska,Florida,3855.474871987318
Alaska,Georgia,3587.490225290467
